rank,name,seed_label,forcing_family,symmetry_fold,tau_imag,delta,s1,s2,epsilon,epsilon_bonnet,alpha_0,alpha_1,alpha_2,residual_norm,ratio,verified_ratio,validation_score,b_scalar,c_scalar,closure_rotation_angle,closure_k_fold,closure_k_theta_2pi,closure_rationality_error,closure_axial_proj,f_plus_closure_max,f_plus_closure_mean,f_minus_closure_max,f_minus_closure_mean,euler_plus_ok,euler_minus_ok,iso_E_max_rel,iso_interior_F_scaled,iso_interior_G_rel,iso_interior_metric_mean,H_plus_mean,H_minus_mean,H_interior_max_diff,H_interior_mean_diff,procrustes_disparity,direct_mean_distance,direct_max_distance,scale_ratio,is_non_congruent,n_vertices,n_triangles,time_seconds
11,rank011_fold3_paper_3fold_bwd_3__hh_h14_p011_eps3e-04,paper_3fold_bwd_3,high_harmonic,3,0.3147471955,1.92681020733766,-3.601381552,0.7301106399143842,0.00025,0.3,0.017804651804162547,-0.05425352584236241,0.18211450481191194,3.287893940545378e-10,1.0000000000101235,0.9999818958214839,2.1475501525773223e-10,-3.282236600565813e-10,-3.9929171080643755e-13,2.0943571850903786,3,0.9999818958214839,1.810417851610957e-05,0.000564429957237822,9.458178008311995,4.228898094745066,9.497841103180603,4.231629673180497,True,True,3.565813698258442e-14,1.5443199528927662,1.5573434719752937,1.4235700976184882,0.5963265750502207,0.5872179341123052,2.833788102081521,0.20243643956604482,0.4505677223149098,2.3701618307309174,10.568523337270376,1.0004675864507588,True,6400,12800,243.47
12,rank012_fold4_paper_4fold_bwd_6__anti_h9_p033_eps5e-04,paper_4fold_bwd_6,anti_reflection,4,0.30630578925,1.6681155066416105,-3.13060628,0.9762101266467138,0.0005,0.3,-0.007615733352844605,-0.07211184588620961,0.08980172328717582,1.0005276985728057e-10,1.0000000000260743,0.999996038225812,2.4136627637932886e-10,-9.131834524667148e-11,6.522560269672795e-16,1.5707901036545544,4,0.999996038225812,3.961774188043776e-06,8.344187436160055e-05,5.622586412365586,2.790658629377107,5.585487016478093,2.783094815022216,True,True,1.5057114536573242e-14,1.5119876701128783,1.7700241331679618,1.2623951861840463,0.70997157873738,0.703518194273197,3.6373364495788394,0.29000705792336157,0.5100307934433361,2.0736848926506593,8.036761609883914,1.0003482657937952,True,6400,12800,244.49
13,rank013_fold3_paper_3fold_bwd_10__phase_h7_p041_eps1e-03,paper_3fold_bwd_10,phase_shifted,3,0.29430578925,2.0764338093141723,-3.601381552,1.103216823797698,0.001,0.3,0.02112262534639852,-0.03830067885864087,0.17135284468192558,3.687317586710744e-10,0.9999999998821575,0.9999299559490946,2.568945028771387e-10,2.740254585742452e-10,8.300651832549022e-16,2.0942484024760275,3,0.9999299559490946,7.004405090538235e-05,0.0002600448918182452,7.6624010010235315,3.080588108215607,7.693175485483857,3.083373425017111,True,True,2.206120787466046e-14,1.9064752047770201,2.723665822239626,1.427143014322184,0.7782473699680479,0.7606687553400198,13.90038100289685,0.44783659323064395,0.5182487231375293,1.9273780421954945,8.251232945350843,1.0004667899501265,True,6400,12800,261.12
14,rank014_fold4_paper_4fold_bwd_16__anti_h11_p043_eps1e-03,paper_4fold_bwd_16,anti_reflection,4,0.27630578925,1.8746151019052095,-3.13060628,1.6040432495181718,0.001,0.3,-0.010177017613364743,-0.07346388906745975,0.134587895471355,1.5090965626285077e-11,1.0000000000076261,0.9999866586625564,2.612043995983021e-10,-7.606405089122248e-12,2.992397996059992e-16,1.5707753702710456,4,0.9999866586625564,1.3341337443573131e-05,-7.588748417314273e-05,4.793792314206871,2.100676509789284,4.773071527787198,2.0955763212673846,True,True,2.421982772627321e-14,1.854420415090996,3.904832436804337,1.3961158873380621,0.9587969519171554,0.9361176077124714,15.54736774037673,0.6150185597737727,0.5080860962894219,1.6836067670562855,6.78836465563101,1.0005847711997469,True,6400,12800,337.35
15,rank015_fold3_paper_3fold__smooth_h4_p019_eps8e-04,paper_3fold,smooth_low_freq,3,0.3205128205,1.897366596,-3.601381552,0.5965202011,0.00075,0.3,0.020161603544940496,-0.06344489284245926,0.22152603392172743,4.1716772110852655e-11,0.9999999999876961,0.9999985355139677,2.630589274311781e-10,-1.512977590434339e-11,4.822531263215524e-16,2.094392035180822,3,0.9999985355139677,1.4644860323320685e-06,0.0008480584343085393,11.146742207265733,5.01962033460548,11.212106275422913,5.026965256936643,True,True,6.183878035720866e-14,1.3150801500567562,1.2753435468140255,1.3897657979320108,0.5575737416613226,0.5493649151343106,2.0626337754528454,0.14340523975458297,0.3893747431551831,2.586215376113768,12.773873702520797,1.0005019343940431,True,6400,12800,218.47
16,rank016_fold4_paper_4fold_bwd_15__smooth_h4_p019_eps8e-04,paper_4fold_bwd_15,smooth_low_freq,4,0.27930578925,1.8503682418819172,-3.13060628,1.5485459929999899,0.00075,0.3,-0.010056521729353804,-0.07261785246506927,0.12640220147305195,6.416971426275024e-05,1.0000080651821277,0.9999960103173631,2.858806128277967e-10,-6.266064338917438e-05,-5.558646613976464e-06,1.5707900598160653,4,0.9999960103173631,3.989682636929004e-06,1.9568846643613913e-05,4.817237270722603,2.129937021945504,4.795291239066689,2.1247762457346964,True,True,2.1513085322199222e-14,1.8290869437254607,3.476390310077141,1.2421494456379045,0.9315465070650358,0.9132931126934248,13.180332242238817,0.5699703855097635,0.5164517081594542,1.71134247545669,6.623167999911938,1.0005506262523114,True,6400,12800,390.94
17,rank017_fold3_paper_3fold_bwd_5__hh_h14_p011_eps1e-04,paper_3fold_bwd_5,high_harmonic,3,0.30930578925,1.960799973888406,-3.601381552,0.8422066204288944,0.0001,0.3,0.01701876256643096,-0.0490488287559727,0.16691748301461357,2.330540692031469e-10,1.0000000000522324,0.99996887058616,3.1339798451969953e-10,2.0906650022300965e-10,9.35015953551499e-16,2.0943299051013087,3,0.99996887058616,3.112941383998091e-05,0.0004440257685595639,8.172000350443238,3.769781464284854,8.197350322433122,3.771431291402009,True,True,3.905240676083574e-14,1.746855174369626,2.4888943583865095,1.4878673460081953,0.6553215509295454,0.6450705834676626,4.526413304290574,0.2825662163037451,0.47287358369343857,2.216902807349918,9.509002210183699,1.000454018454698,True,6400,12800,224.78
18,rank018_fold3_paper_3fold__smooth_h4_p019_eps1e-04,paper_3fold,smooth_low_freq,3,0.3205128205,1.897366596,-3.601381552,0.5965202011,0.0001,0.3,0.020147479492790304,-0.06347303373960107,0.22151814995855842,4.914703234862048e-11,1.0000000000078957,0.999998541203087,3.8599066905494405e-10,-4.902721631450113e-11,6.323067069935462e-16,2.0943920470960853,3,0.999998541203087,1.4587969130452905e-06,0.0008479924955528493,11.146679092464737,5.019613540703636,11.212157079729634,5.026970607459601,True,True,6.60054577450964e-14,1.3150766513774925,1.2742524186673714,1.3897682124080135,0.5575547773859496,0.5493394722347289,2.0617816656284083,0.14340329326599954,0.38937476954103456,2.586215394034126,12.773873702520797,1.0005024546796286,True,6400,12800,211.13
19,rank019_fold3_paper_3fold_bwd_17__phase_h7_p041_eps5e-04,paper_3fold_bwd_17,phase_shifted,3,0.27330578925,2.3057107138256083,-3.601381552,1.3709442290133442,0.0005,0.3,-0.007989540713620862,-0.028791675233300184,0.009261015986815306,3.5108266094165305e-10,0.9999999999510223,0.9998649502310238,4.0729092262818484e-10,3.3772123292363787e-10,4.562322741819003e-16,2.0941122548184725,3,0.9998649502310238,0.00013504976897615872,0.0003483392000893093,8.612790542713581,2.7285734963123605,8.594793419834835,2.7245055016646615,True,True,3.0907616521089074e-14,2.0674881885274243,3.0541465903933833,1.7482622777155066,0.9856944231225099,0.9853875449447449,420.6576077908417,1.0280965574090455,0.5061045839220478,1.6824963437175682,8.67829218823778,0.9999965975040029,True,6400,12800,441.27
20,rank020_fold3_paper_3fold_bwd_11__smooth_h4_p019_eps5e-04,paper_3fold_bwd_11,smooth_low_freq,3,0.29130578925,2.103419418787167,-3.601381552,1.148483246646976,0.0005,0.3,-0.0054578045258235125,-0.042379192769803495,0.04069116107216667,1.8004980233487419e-10,0.9999999999905952,0.9999227514757898,4.114223538926876e-10,-1.79114122839108e-10,1.3097162243624894e-15,2.0942333134624227,3,0.9999227514757898,7.7248524210205e-05,0.00035301087297751055,7.5680976375681075,3.01044681660486,7.535954149035904,3.004958215010516,True,True,2.1079436778759053e-14,1.9787596082664654,3.227720303069346,1.4445510821343597,0.8202399455823035,0.8129280557586944,63.99442633264431,0.5869213663335047,0.5182589774716119,1.8816241952608623,8.143990836504603,1.000094572613024,True,6400,12800,223.6
